order|section_id|layout|title|subtitle|bullets|speaker_notes|media_ref|chart_ref
1||Title|Generative AI and Brand Reputation at Maersk|How AI is reshaping brand perception||Welcome. Today we'll explore how generative AI is fundamentally changing how brands are discovered and perceived. 90 minutes total: 60 min presentation plus 30 min Q&A.||
2||Content|Today's Journey|What we'll cover|Section 1: Why This Matters (10 min) • Section 2: LLMs as Stakeholders (15 min) • Section 3: Where LLMs Get Their Answers (15 min) • Section 4: Where to Focus (15 min) • Section 5: Examples (10 min) • Q&A and Discussion (30 min)|Set expectations. This is about strategic positioning in the AI era.||
3|S1|Section|Why This Matters|Time: 10 minutes|The fundamental shift in brand discovery|We're witnessing the biggest change in information discovery since Google's launch.||
4|S1|Content|AI Answers Are Replacing Search Results|The new front door|Google AI Overviews now appear in 15% of searches • ChatGPT hit 200M weekly active users in August 2024 • Perplexity, Claude, and others growing rapidly • Users increasingly skip traditional search results|Emphasis: People are getting answers without clicking. Your brand needs to BE the answer, not just rank in search results.||
5|S1|Content|LLMs Are Already Shaping Brand Perception|Reputation happens before the click|AI answers set expectations before prospects visit your site • Models synthesize information from multiple sources • These synthetic answers are often accepted as authoritative • First impression now happens in an AI response|Question for audience: When was the last time you used ChatGPT to research a company or product? This is your customers' new behavior.||
6|S1|Content|Invisibility Risk|If you're not present in AI, you don't exist|Brands absent from AI training data won't be recommended • Competitors who ARE present will capture mindshare • The window to influence model training is NOW • Later correction is harder than early presence|This is urgent. Models are being trained on today's web. What they learn now shapes answers for years.||
7|S1|Content|Section 1 Takeaways|Why this matters|AI discovery is replacing traditional search • Brand perception now forms in AI responses • Absence from AI = invisibility to prospects • The time to act is now|Transition: So if LLMs are reshaping perception, how should we think about them?||
8|S2|Section|LLMs as Stakeholders|Time: 15 minutes|A new kind of brand ambassador|Think of AI models as stakeholders who speak about your brand 24/7.||
9|S2|Content|LLMs: Your New Spokesperson|They speak about you whether you engage or not|LLMs answer thousands of queries about brands daily • They synthesize reputation from available information • Unlike traditional media, they're always-on and instant • They don't fact-check or call for comment|Key insight: You can't opt out. LLMs will talk about you. The question is whether you've given them the right information.||
10|S2|TwoColumn|Traditional Stakeholders vs AI Stakeholders|A fundamental difference|TRADITIONAL: Journalists - verify sources - deadline-driven - relationship-based - one article at a time <> AI MODELS: Instant responses - synthesize multiple sources - 24/7 availability - pattern-based - millions of conversations daily|This isn't a replacement for traditional PR. It's an additional stakeholder group that requires different strategies.||
11|S2|Content|Reputation Before the Click|AI sets expectations before human interaction|Prospect asks: "Who leads in shipping and logistics?" • Model answers based on training data • Perception formed before visiting any website • This answer influences whether they research you at all|Exercise: Try this now. Ask ChatGPT: "Who is the leader in shipping and logistics?" What does it say? Is Maersk mentioned? In what context?||
12|S2|Content|The Leadership Question|Positioning in AI responses|Models look for signals of leadership and authority • Market position, innovation, scale, trust • Industry awards, analyst reports, media coverage • The story must be consistent across sources|Critical point: You need to OWN the narrative across all touchpoints. Inconsistent messaging confuses models.||
13|S2|Content|Section 2 Takeaways|LLMs as stakeholders|Treat LLMs as a new stakeholder category • They form perception before human contact • They answer the leadership question constantly • You must proactively shape their knowledge|Transition: So where do LLMs actually get their information?||
